MATRICULA,NOME,REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,PERFIL
502375,Márcia Illiglener,0,0,0,0,6.2,5.8,4.6,5.9,0.0,2,4,3,EXATAS
397093,Jason Jytereoman Izoimum,0,0,0,0,6.0,6.2,5.2,4.5,1.0,2,4,3,EXATAS
915288,Bartolomeu Inácio da Gama,0,0,0,0,7.3,6.7,7.1,7.2,0.0,5,0,3,HUMANAS
192652,Fernanda Guedes,1,3,1,1,0.0,0.0,0.0,0.0,1.0,4,4,4,DIFICULDADE
949491,Alessandre Borba Gomes,1,3,1,1,0.0,0.0,0.0,0.0,1.0,5,2,5,DIFICULDADE
627360,Magali Hellen Gejibaflião,0,0,0,0,7.3,7.4,7.6,6.5,1.0,5,3,5,HUMANAS
804493,Tiago Brisu Pires,0,0,0,0,5.8,6.0,7.3,5.1,1.0,5,2,6,DIFICULDADE
433789,Andressa Gabrielle da Silva,0,0,0,0,4.9,5.0,5.9,4.6,,2,2,6,DIFICULDADE
178335,Gilmar Oséas Etonvic,0,0,0,0,4.4,4.8,4.7,4.6,1.0,3,4,4,DIFICULDADE
987229,Otávia Mônica Noopu,0,0,0,0,6.4,5.4,5.0,5.5,1.0,3,5,3,EXATAS
382592,Matheus de Souza dos Pinhais,0,0,0,0,6.9,7.5,7.3,6.0,0.0,3,5,5,MUITO_BOM
422026,Marcos de Rezende Espada Bakeu,3,1,1,1,0.0,0.0,0.0,0.0,,0,1,7,DIFICULDADE
483227,Damares Mara Sobi,1,1,1,1,0.0,0.0,0.0,0.0,,7,5,5,DIFICULDADE
816701,Vitor Ragi,3,1,1,1,0.0,0.0,0.0,,0.0,6,5,3,DIFICULDADE
672601,Luiza Tahichi,1,3,1,1,0.0,0.0,0.0,0.0,,5,2,6,DIFICULDADE
630347,Jaziel da Conceição,0,0,0,0,6.6,4.4,4.9,4.7,1.0,4,2,4,EXATAS
559228,Celso de Pereira,0,0,0,0,6.1,4.7,6.5,5.3,0.0,4,5,3,EXATAS
573688,Regina Conimman,0,0,0,0,5.5,5.1,6.2,4.7,1.0,2,3,6,EXATAS
719970,Yasmin Lopes Gomes Dapitoe,0,0,0,0,6.7,6.5,7.0,5.6,1.0,7,5,3,HUMANAS
546151,Janete Vitória Gomes,0,0,0,0,5.4,5.2,5.0,5.8,1.0,1,3,5,EXATAS
390727,Celso Mariano Hikurode,0,0,0,0,5.3,4.8,4.8,5.3,0.0,3,4,4,DIFICULDADE
394721,Rosana Aznanão,0,0,0,0,7.0,7.4,7.3,7.0,,15,5,2,HUMANAS
506004,Sâmia Edilene Sayu de Meireles,0,0,0,0,8.0,8.4,10.0,8.5,0.0,10,6,2,EXCELENTE
514791,Márcia Juliana de Castro,0,0,0,0,6.9,6.8,5.5,6.3,0.0,8,4,5,EXATAS
656202,Wanda Rosa Weber,0,0,0,0,6.1,5.2,5.6,5.2,,4,5,3,EXATAS
535203,Suely da Paraíba Tlanokivic,1,1,1,1,0.0,0.0,0.0,0.0,1.0,2,0,3,DIFICULDADE
332396,Bóris Pedro de Ramos,0,0,0,0,7.2,7.4,8.1,,1.0,3,5,2,HUMANAS
617599,Walderice Yolanda Oiluer do Maranhão,0,0,0,0,4.5,4.9,5.5,,1.0,5,2,6,DIFICULDADE
194445,Aécio Eric de Freitas Júnior,0,0,0,0,6.7,7.0,5.9,5.6,0.0,5,4,4,MUITO_BOM
856103,Luara Idiz,0,0,0,0,6.2,6.0,5.0,4.3,1.0,5,3,6,DIFICULDADE
644628,Kauê Sílvio Valverde,0,0,0,0,6.8,7.1,7.9,5.8,0.0,1,4,6,HUMANAS
983548,Samuel de Salgado,0,0,0,0,5.9,6.2,5.7,6.3,,3,3,4,EXATAS
364403,Giovanni Freire Gomes,0,0,0,0,5.7,4.9,5.0,5.2,,5,1,3,DIFICULDADE
261521,Eleriane Shingazyttes,0,0,0,0,6.8,5.9,6.7,6.2,0.0,4,2,3,HUMANAS
375701,Yolanda de Macedo dos Santos Valente,0,0,0,0,6.1,6.4,5.4,5.4,,2,2,6,DIFICULDADE
148016,Daniela Itamara de Sá do Vale,0,0,0,0,6.0,6.2,5.4,6.4,1.0,2,4,4,EXATAS
177301,Joaquim da Luz Pomyn Júnior,0,0,0,0,6.6,6.9,5.2,,,15,5,5,EXATAS
556989,Wagner Guilherme de Salvador Eicli Nowason,0,0,0,0,6.4,5.7,5.0,,0.0,5,5,3,EXATAS
185935,Augusto Esimdul Utre Júnior,0,0,0,0,7.3,7.2,7.6,,1.0,13,5,3,HUMANAS
608546,Albina Tina da Silva de Toledo Fiarne,0,0,0,0,6.6,6.0,6.5,6.2,1.0,2,0,3,EXATAS
604099,Josiane Dara de Oliveira Yndube Kratroe Terceiro,0,0,0,0,7.3,8.1,7.1,7.5,0.0,3,5,2,MUITO_BOM
520728,Marlene Tuseson,0,0,0,0,5.9,5.7,5.6,5.6,1.0,3,2,5,EXATAS
775472,Paulo Jardel Alasov,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6,0,3,DIFICULDADE
275380,Fabíola Mayra de Bragança Eovic,0,0,0,0,4.7,5.9,5.0,4.5,1.0,5,1,7,DIFICULDADE
516894,Maria da Silva,1,1,1,1,0.0,0.0,0.0,,1.0,2,3,3,DIFICULDADE
420908,Keyla Adrielle Uzbo,0,0,0,0,5.5,5.2,7.5,5.4,1.0,9,4,4,HUMANAS
546263,Rebeca Karina Duque,0,0,0,0,6.5,5.9,5.4,4.8,1.0,0,3,5,EXATAS
763764,Heron Miguel Baledro,0,0,1,1,4.7,5.1,0.0,0.0,1.0,3,3,5,DIFICULDADE
970726,Suely Elaine Aenammi,0,0,0,0,5.5,6.2,6.0,5.8,1.0,5,6,6,EXATAS
950310,Poliana Marina Pinto Hoa de Jesus,0,0,0,0,6.8,6.2,7.1,6.4,0.0,9,3,4,MUITO_BOM
610884,Matilde Milani de Souza Clossze,0,0,0,0,6.2,5.5,4.9,4.3,0.0,7,2,3,EXATAS
419994,Otávio Barnabé Batsu de Meireles,0,0,0,0,6.5,6.7,7.3,5.3,0.0,3,0,3,HUMANAS
346568,Victor Marciano Gomes de Figueiredo,0,0,0,0,6.2,6.2,4.8,6.0,0.0,10,5,1,DIFICULDADE
785039,Augusto de Gusmões,0,0,0,0,6.0,5.3,4.9,5.0,1.0,1,2,6,DIFICULDADE
336386,Lara do Espírito Santo de Peres,0,0,0,0,4.9,5.2,5.5,5.7,1.0,0,2,1,EXATAS
472125,Karl dos Santos,1,1,1,3,0.0,0.0,0.0,0.0,1.0,2,2,5,DIFICULDADE
120982,Bárbara Jandira da Silva Crerol Lopes,0,0,0,0,7.6,7.2,6.8,6.4,1.0,3,0,3,HUMANAS
173762,Gilmara de Guimarães Mendes,0,0,0,0,5.7,4.3,5.7,,1.0,0,0,8,EXATAS
133076,Sílvia Jangada,1,1,1,1,0.0,0.0,0.0,0.0,0.0,21,6,2,DIFICULDADE
244232,João Ricardo Gomes,0,0,1,1,5.2,4.9,0.0,0.0,1.0,3,2,6,DIFICULDADE
432793,Sâmia Rose de Trindade,0,0,0,0,5.2,5.2,5.9,,,2,4,4,DIFICULDADE
727230,Wilma de Sampaio Irno,0,0,0,0,6.1,5.5,5.1,5.6,1.0,0,2,6,EXATAS
121294,Joelma de Pereira,0,0,0,0,7.4,6.6,5.7,,1.0,0,5,3,EXATAS
683121,Filipe Alex Noinbo Pinhão,0,0,0,0,6.8,7.4,8.7,7.6,,2,5,3,MUITO_BOM
232491,Cléber Heron de Amorim Yatsuta Fragoso,1,1,1,1,0.0,0.0,0.0,0.0,,1,0,6,DIFICULDADE
782070,Luiza Cavalcante,0,0,0,0,6.4,5.5,4.9,6.2,1.0,5,0,3,DIFICULDADE
823254,Osvaldo Fagner Quiscubri da Silva Droa Júnior,0,0,0,0,6.0,5.8,4.9,,1.0,6,3,5,EXATAS
209033,Mara Jeniffer de Linhares,0,0,0,0,6.5,6.0,6.9,6.2,0.0,8,0,1,HUMANAS
196963,Edson de Tozetto dos Santos,0,0,0,0,6.1,5.8,5.3,,1.0,7,2,4,DIFICULDADE
321072,Clara Solange Rodrigues de Barros Terceiro,0,0,0,0,6.7,6.7,6.8,6.3,,4,3,4,HUMANAS
449186,Laura Branco Vunnião,0,0,0,0,6.6,4.7,5.6,4.4,1.0,1,3,5,EXATAS
354651,Gabriel Netsuji,0,0,0,0,6.1,4.6,4.7,5.1,0.0,7,5,3,EXATAS
743378,Otaviano Gomes Júnior,0,0,0,0,6.1,6.5,4.6,5.0,1.0,0,2,3,EXATAS
481412,Robert Pires,1,1,1,1,0.0,0.0,0.0,,,3,3,6,DIFICULDADE
176810,Keyla Karina de Barbosa,0,0,3,1,4.7,4.8,0.0,0.0,,3,5,5,DIFICULDADE
228605,Martin Igreja Terceiro,0,0,0,0,6.2,6.0,4.9,6.3,1.0,3,2,2,EXATAS
748596,Priscila Marcela Geshisene,0,0,0,0,7.5,7.3,8.1,6.0,0.0,4,5,3,HUMANAS
916770,Willian Owoer Neto,0,0,0,0,7.1,6.2,7.7,,0.0,2,5,3,HUMANAS
458344,Alessandra Ossal de Alvarenga,0,0,0,0,7.6,7.7,7.9,,1.0,17,7,2,MUITO_BOM
349438,Leonara de Souza da Silva dos Reis,0,0,0,0,5.7,5.6,5.2,5.7,1.0,2,5,3,DIFICULDADE
572626,Rosilda Selena Migoyo,0,0,0,0,5.2,5.0,4.6,5.0,0.0,4,0,4,EXATAS
694666,Celina Lígia da Silva,0,0,0,0,6.4,5.9,6.5,4.7,1.0,9,2,3,EXATAS
705401,Adônis Walter da Silva,0,0,0,0,7.1,6.5,5.9,,0.0,4,3,6,EXATAS
652794,Zilda Marli de Oliveira Aelaz,0,0,0,0,7.1,7.0,8.3,7.8,0.0,5,4,2,HUMANAS
997787,Vinícius de Pereira,0,0,0,0,5.9,6.4,7.5,4.6,1.0,5,2,4,MUITO_BOM
384711,Nelson Emílio Freire Gobido,1,1,1,1,0.0,0.0,0.0,0.0,0.0,7,7,4,DIFICULDADE
545750,Rebeca Regina de Ortega Vempi,0,0,0,0,7.1,7.3,7.3,7.1,0.0,4,5,3,HUMANAS
148616,Albano Orlando de Linhares,1,3,3,1,0.0,0.0,0.0,0.0,1.0,5,3,5,DIFICULDADE
