MATRICULA,NOME,REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,PERFIL
502375,0,0,0,0,0,6.2,5.8,4.6,5.9,0.0,2,4,3,EXATAS
397093,1,0,0,0,0,6.0,6.2,5.2,4.5,1.0,2,4,3,EXATAS
915288,2,0,0,0,0,7.3,6.7,7.1,7.2,0.0,5,0,3,HUMANAS
192652,3,1,3,1,1,0.0,0.0,0.0,0.0,1.0,4,4,4,DIFICULDADE
949491,4,1,3,1,1,0.0,0.0,0.0,0.0,1.0,5,2,5,DIFICULDADE
627360,5,0,0,0,0,7.3,7.4,7.6,6.5,1.0,5,3,5,HUMANAS
804493,6,0,0,0,0,5.8,6.0,7.3,5.1,1.0,5,2,6,DIFICULDADE
433789,7,0,0,0,0,4.9,5.0,5.9,4.6,0.0,2,2,6,DIFICULDADE
178335,8,0,0,0,0,4.4,4.8,4.7,4.6,1.0,3,4,4,DIFICULDADE
987229,9,0,0,0,0,6.4,5.4,5.0,5.5,1.0,3,5,3,EXATAS
382592,10,0,0,0,0,6.9,7.5,7.3,6.0,0.0,3,5,5,MUITO_BOM
422026,11,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0,1,7,DIFICULDADE
483227,12,1,1,1,1,0.0,0.0,0.0,0.0,0.0,7,5,5,DIFICULDADE
816701,13,3,1,1,1,0.0,0.0,0.0,0.0,0.0,6,5,3,DIFICULDADE
672601,14,1,3,1,1,0.0,0.0,0.0,0.0,0.0,5,2,6,DIFICULDADE
630347,15,0,0,0,0,6.6,4.4,4.9,4.7,1.0,4,2,4,EXATAS
559228,16,0,0,0,0,6.1,4.7,6.5,5.3,0.0,4,5,3,EXATAS
573688,17,0,0,0,0,5.5,5.1,6.2,4.7,1.0,2,3,6,EXATAS
719970,18,0,0,0,0,6.7,6.5,7.0,5.6,1.0,7,5,3,HUMANAS
546151,19,0,0,0,0,5.4,5.2,5.0,5.8,1.0,1,3,5,EXATAS
390727,20,0,0,0,0,5.3,4.8,4.8,5.3,0.0,3,4,4,DIFICULDADE
394721,21,0,0,0,0,7.0,7.4,7.3,7.0,0.0,15,5,2,HUMANAS
506004,22,0,0,0,0,8.0,8.4,10.0,8.5,0.0,10,6,2,EXCELENTE
514791,23,0,0,0,0,6.9,6.8,5.5,6.3,0.0,8,4,5,EXATAS
656202,24,0,0,0,0,6.1,5.2,5.6,5.2,0.0,4,5,3,EXATAS
535203,25,1,1,1,1,0.0,0.0,0.0,0.0,1.0,2,0,3,DIFICULDADE
332396,26,0,0,0,0,7.2,7.4,8.1,0.0,1.0,3,5,2,HUMANAS
617599,27,0,0,0,0,4.5,4.9,5.5,0.0,1.0,5,2,6,DIFICULDADE
194445,28,0,0,0,0,6.7,7.0,5.9,5.6,0.0,5,4,4,MUITO_BOM
856103,29,0,0,0,0,6.2,6.0,5.0,4.3,1.0,5,3,6,DIFICULDADE
644628,30,0,0,0,0,6.8,7.1,7.9,5.8,0.0,1,4,6,HUMANAS
983548,31,0,0,0,0,5.9,6.2,5.7,6.3,0.0,3,3,4,EXATAS
364403,32,0,0,0,0,5.7,4.9,5.0,5.2,0.0,5,1,3,DIFICULDADE
261521,33,0,0,0,0,6.8,5.9,6.7,6.2,0.0,4,2,3,HUMANAS
375701,34,0,0,0,0,6.1,6.4,5.4,5.4,0.0,2,2,6,DIFICULDADE
148016,35,0,0,0,0,6.0,6.2,5.4,6.4,1.0,2,4,4,EXATAS
177301,36,0,0,0,0,6.6,6.9,5.2,0.0,0.0,15,5,5,EXATAS
556989,37,0,0,0,0,6.4,5.7,5.0,0.0,0.0,5,5,3,EXATAS
185935,38,0,0,0,0,7.3,7.2,7.6,0.0,1.0,13,5,3,HUMANAS
608546,39,0,0,0,0,6.6,6.0,6.5,6.2,1.0,2,0,3,EXATAS
604099,40,0,0,0,0,7.3,8.1,7.1,7.5,0.0,3,5,2,MUITO_BOM
520728,41,0,0,0,0,5.9,5.7,5.6,5.6,1.0,3,2,5,EXATAS
775472,42,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6,0,3,DIFICULDADE
275380,43,0,0,0,0,4.7,5.9,5.0,4.5,1.0,5,1,7,DIFICULDADE
516894,44,1,1,1,1,0.0,0.0,0.0,0.0,1.0,2,3,3,DIFICULDADE
420908,45,0,0,0,0,5.5,5.2,7.5,5.4,1.0,9,4,4,HUMANAS
546263,46,0,0,0,0,6.5,5.9,5.4,4.8,1.0,0,3,5,EXATAS
763764,47,0,0,1,1,4.7,5.1,0.0,0.0,1.0,3,3,5,DIFICULDADE
970726,48,0,0,0,0,5.5,6.2,6.0,5.8,1.0,5,6,6,EXATAS
950310,49,0,0,0,0,6.8,6.2,7.1,6.4,0.0,9,3,4,MUITO_BOM
610884,50,0,0,0,0,6.2,5.5,4.9,4.3,0.0,7,2,3,EXATAS
